Team,Team Score,Opponent,Opponent Score,Map,Team Ranking (points),Opponent Ranking (points),Result
Astralis,14,EnVyUs,16,mrg,971,83,loss
NiP,16,FaZe,3,cch,328,839,win
Dignitas,16,FlipSid3,9,ovp,328,839,win
FlipSid3,5,Dignitas,16,cbl,328,839,loss
Dignitas,14,mousesports,16,mrg,328,639,loss
EnVyUs,6,NiP,16,nuke,83,328,loss
mousesports,16,Dignitas,14,cbl,639,328,win
NiP,15,EnVyUs,19,d2,328,83,loss
Astralis,16,FlipSid3,12,trn,971,83,win
FlipSid3,6,Astralis,16,ovp,971,971,loss
Dignitas,16,NiP,10,d2,971,328,win
NiP,16,Dignitas,8,nuke,328,328,win
G2,6,EnVyUs,16,nuke,242,83,loss
EnVyUs,16,G2,14,trn,83,242,win
FaZe,16,G2,12,ovp,839,242,win
G2,12,FaZe,16,cch,242,839,loss
Natus Vincere,16,Astralis,6,mrg,620,971,win
Astralis,7,Natus Vincere,16,trn,971,620,loss
OpTic,20,Liquid,22,cbl,971,321,loss
Liquid,16,OpTic,3,mrg,321,321,win
EnVyUs,10,FaZe,16,mrg,83,839,loss
FaZe,6,EnVyUs,16,cch,839,83,loss
G2,11,Natus Vincere,16,trn,242,620,loss
Natus Vincere,16,G2,12,d2,620,242,win
Immortals,14,Cloud9,16,ovp,620,430,loss
Cloud9,16,Immortals,5,cbl,430,430,win
Virtus.pro,5,FaZe,16,mrg,160,839,loss
FaZe,16,Virtus.pro,8,trn,839,160,win
Liquid,10,Cloud9,16,d2,321,430,loss
Cloud9,16,Liquid,8,cbl,430,321,win
NiP,17,Virtus.pro,19,ovp,328,160,loss
Virtus.pro,8,NiP,16,nuke,160,328,loss
G2,13,fnatic,16,trn,242,604,loss
SK,16,FaZe,6,cbl,331,839,win
EnVyUs,12,mousesports,16,trn,83,639,loss
Liquid,12,Virtus.pro,16,cbl,321,160,loss
Natus Vincere,16,NiP,12,cbl,620,328,win
Astralis,6,Gambit,16,d2,971,264,loss
fnatic,14,FaZe,16,d2,604,839,loss
SK,16,G2,11,cbl,331,242,win
Virtus.pro,16,mousesports,10,trn,160,639,win
Liquid,16,EnVyUs,7,trn,321,83,win
NiP,16,OpTic,4,d2,328,83,win
Astralis,16,Dignitas,12,ovp,971,83,win
Gambit,9,Virtus.pro,16,trn,264,160,loss
Virtus.pro,12,Gambit,16,nuke,160,264,loss
EnVyUs,16,Virtus.pro,11,cch,83,160,win
Virtus.pro,19,EnVyUs,16,mrg,160,83,win
Gambit,9,EnVyUs,16,cbl,264,83,loss
EnVyUs,16,Gambit,13,d2,83,264,win
fnatic,16,Cloud9,13,d2,604,430,win
Luminosity,16,Liquid,12,trn,604,321,win
Liquid,16,G2,6,cbl,321,242,win
Luminosity,16,NiP,12,trn,321,328,win
mousesports,6,Natus Vincere,16,cbl,639,620,loss
Natus Vincere,6,mousesports,16,mrg,620,639,loss
NiP,8,GODSENT,16,mrg,328,115,loss
Astralis,16,SK,12,ovp,971,331,win
HellRaisers,7,GODSENT,16,cbl,154,115,loss
Immortals,13,SK,16,trn,154,331,loss
fnatic,16,Dignitas,6,d2,604,331,win
Dignitas,9,fnatic,16,cbl,604,604,loss
FaZe,16,fnatic,8,mrg,839,604,win
fnatic,16,FaZe,0,cbl,604,839,win
FaZe,16,Dignitas,6,mrg,839,839,win
Dignitas,5,FaZe,16,cbl,839,839,loss
Cloud9,8,G2,16,cch,430,242,loss
TyLoo,3,Dignitas,16,cbl,210,242,loss
EnVyUs,16,Cloud9,12,cbl,83,430,win
HellRaisers,14,OpTic,16,cch,154,430,loss
mousesports,16,G2,1,d2,639,242,win
Cloud9,16,TyLoo,13,cch,430,210,win
Dignitas,10,HellRaisers,16,nuke,430,154,loss
Cloud9,12,mousesports,16,mrg,430,639,loss
HellRaisers,8,G2,16,d2,154,242,loss
TyLoo,16,Immortals,11,cch,210,242,win
G2,16,TyLoo,9,cch,242,210,win
FaZe,16,Dignitas,8,mrg,839,210,win
EnVyUs,16,Immortals,6,d2,83,210,win
Astralis,16,SK,7,ovp,971,331,win
SK,16,Astralis,6,trn,331,971,win
CLG,6,Astralis,16,d2,331,971,loss
Astralis,16,CLG,2,trn,971,971,win
SK,14,CLG,16,ovp,331,971,loss
CLG,3,SK,16,nuke,331,331,loss
G2,16,OpTic,4,nuke,242,331,win
OpTic,14,G2,16,trn,242,242,loss
G2,16,NiP,12,d2,242,328,win
NiP,9,G2,16,trn,328,242,loss
OpTic,10,NiP,16,trn,328,328,loss
NiP,16,OpTic,4,cbl,328,328,win
Luminosity,16,Cloud9,10,trn,328,430,win
Cloud9,7,Luminosity,16,d2,430,430,loss
Liquid,14,Luminosity,16,cbl,321,430,loss
Luminosity,16,Liquid,6,d2,321,321,win
Cloud9,16,Liquid,2,cch,430,321,win
Liquid,11,Cloud9,16,d2,321,430,loss
fnatic,9,NiP,16,trn,604,328,loss
NiP,22,Liquid,18,d2,328,321,win
fnatic,16,Cloud9,10,inf,604,430,win
Luminosity,12,G2,16,trn,604,242,loss
Tempo Storm,16,Liquid,10,cbl,604,321,win
Luminosity,16,Cloud9,3,mrg,604,430,win
CLG,1,Cloud9,16,cbl,604,430,loss
Selfless,6,Luminosity,16,ovp,604,430,loss
Luminosity,16,Selfless,14,inf,604,430,win
fnatic,22,Astralis,19,trn,604,971,win
FaZe,16,EnVyUs,7,trn,839,83,win
NiP,16,G2,10,d2,328,242,win
mousesports,16,Natus Vincere,10,cch,639,620,win
EnVyUs,14,FaZe,16,inf,83,839,loss
G2,16,NiP,13,cbl,242,328,win
Natus Vincere,16,mousesports,10,d2,620,639,win
Astralis,16,fnatic,5,ovp,971,604,win
Liquid,16,Selfless,11,cch,321,604,win
Selfless,16,Liquid,9,trn,321,321,win
mousesports,15,Virtus.pro,19,trn,639,160,loss
FaZe,16,Dignitas,7,inf,839,160,win
Virtus.pro,5,mousesports,16,cch,160,639,loss
Dignitas,16,FaZe,9,mrg,160,839,win
NiP,16,EnVyUs,3,trn,328,83,win
EnVyUs,10,NiP,16,cch,83,328,loss
FaZe,16,fnatic,10,inf,839,604,win
fnatic,6,FaZe,16,trn,604,839,loss
G2,16,Natus Vincere,3,ovp,242,620,win
Natus Vincere,19,G2,16,trn,620,242,win
FaZe,9,Astralis,16,inf,839,971,loss
Astralis,16,FaZe,12,d2,971,839,win
fnatic,13,Natus Vincere,16,cbl,604,620,loss
Natus Vincere,11,fnatic,16,ovp,620,604,loss
mousesports,16,EnVyUs,8,cch,639,83,win
EnVyUs,19,mousesports,22,inf,83,639,loss
Virtus.pro,16,Tempo Storm,9,mrg,160,639,win
Astralis,9,Dignitas,16,cch,971,639,loss
Natus Vincere,19,CLG,15,d2,620,639,win
Luminosity,7,mousesports,16,cch,620,639,loss
FaZe,12,EnVyUs,16,cch,839,83,loss
EnVyUs,14,Tempo Storm,16,cbl,83,83,loss
Virtus.pro,16,FaZe,8,trn,160,839,win
NiP,2,Dignitas,16,ovp,328,839,loss
G2,2,CLG,16,d2,242,839,loss
Liquid,13,mousesports,16,d2,321,639,loss
Liquid,16,Cloud9,5,cch,321,430,win
Cloud9,8,Liquid,16,d2,430,321,loss
Dignitas,16,EnVyUs,7,inf,430,83,win
EnVyUs,14,Dignitas,16,mrg,83,83,loss
NiP,16,FlipSid3,8,cbl,328,83,win
FlipSid3,4,NiP,16,ovp,328,328,loss
Natus Vincere,16,Virtus.pro,4,cbl,620,160,win
CLG,9,Astralis,16,ovp,620,971,loss
Liquid,22,fnatic,19,d2,321,604,win
NiP,5,Luminosity,16,mrg,328,604,loss
Cloud9,3,G2,16,d2,430,242,loss
FlipSid3,28,mousesports,31,cbl,430,639,loss
Virtus.pro,16,G2,1,trn,160,242,win
Natus Vincere,16,Cloud9,9,trn,620,430,win
EnVyUs,8,CLG,16,cbl,83,430,loss
FaZe,11,Liquid,16,cch,839,321,loss
Luminosity,16,mousesports,13,mrg,839,639,win
NiP,19,FlipSid3,17,cch,328,639,win
NiP,16,Astralis,4,cch,328,971,win
Astralis,8,NiP,16,mrg,971,328,loss
fnatic,16,FlipSid3,14,inf,604,328,win
FlipSid3,13,fnatic,16,ovp,604,604,loss
Dignitas,16,mousesports,10,inf,604,639,win
mousesports,16,Dignitas,19,cbl,639,639,loss
FlipSid3,13,SK,16,trn,639,331,loss
SK,10,FlipSid3,16,mrg,331,331,loss
Liquid,22,CLG,19,mrg,321,331,win
CLG,5,Liquid,16,cbl,321,321,loss
Dignitas,5,Astralis,16,mrg,321,971,loss
Astralis,16,Dignitas,11,inf,971,971,win
Natus Vincere,16,EnVyUs,7,cbl,620,83,win
EnVyUs,11,Natus Vincere,16,trn,83,620,loss
FlipSid3,16,mousesports,13,cbl,83,639,win
mousesports,12,FlipSid3,16,ovp,639,639,loss
Luminosity,16,CLG,12,ovp,639,639,win
CLG,9,Luminosity,16,cbl,639,639,loss
Dignitas,5,fnatic,16,ovp,639,604,loss
fnatic,16,Dignitas,6,trn,604,604,win
FaZe,13,mousesports,16,d2,839,639,loss
mousesports,16,FaZe,14,cch,639,839,win
Luminosity,16,Cloud9,7,cbl,639,430,win
Cloud9,16,Luminosity,13,ovp,430,430,win
Liquid,16,Renegades,7,d2,321,228,win
Renegades,16,Liquid,11,mrg,228,321,win
FaZe,10,G2,16,cch,839,242,loss
G2,16,FaZe,13,d2,242,839,win
Renegades,8,Cloud9,16,d2,228,430,loss
Cloud9,19,Renegades,16,trn,430,228,win
NiP,10,fnatic,16,inf,328,604,loss
fnatic,6,NiP,16,cch,604,328,loss
Dignitas,16,G2,10,ovp,604,242,win
G2,16,Dignitas,6,inf,242,242,win
Dignitas,3,Natus Vincere,16,ovp,242,620,loss
Natus Vincere,16,Dignitas,14,mrg,620,620,win
mousesports,19,fnatic,17,d2,639,604,win
fnatic,16,mousesports,4,cch,604,639,win
FlipSid3,7,G2,16,ovp,604,242,loss
G2,16,FlipSid3,12,trn,242,242,win
G2,16,Virtus.pro,6,ovp,242,160,win
Virtus.pro,16,G2,14,trn,160,242,win
Astralis,7,EnVyUs,16,inf,971,83,loss
EnVyUs,10,Astralis,16,trn,83,971,loss
FaZe,12,Natus Vincere,16,mrg,839,620,loss
Natus Vincere,19,FaZe,17,d2,620,839,win
FlipSid3,7,EnVyUs,16,cbl,620,83,loss
EnVyUs,16,FlipSid3,9,mrg,83,83,win
EnVyUs,12,G2,16,trn,83,242,loss
G2,16,EnVyUs,11,cch,242,83,win
NiP,16,Virtus.pro,11,ovp,328,160,win
Virtus.pro,2,NiP,16,cch,160,328,loss
FaZe,9,NiP,16,trn,839,328,loss
NiP,16,FaZe,7,d2,328,839,win
mousesports,4,Astralis,16,d2,639,971,loss
Astralis,16,mousesports,12,mrg,971,639,win
EnVyUs,19,E-frag.net,22,cch,83,639,loss
Virtus.pro,16,FaZe,13,mrg,160,839,win
E-frag.net,9,Virtus.pro,16,ovp,160,160,loss
FaZe,5,Astralis,16,inf,839,971,loss
EnVyUs,16,FaZe,12,trn,83,839,win
E-frag.net,5,Astralis,16,mrg,83,971,loss
EnVyUs,14,Virtus.pro,16,cch,83,160,loss
Virtus.pro,6,Astralis,16,ovp,160,971,loss
EnVyUs,11,Astralis,16,trn,83,971,loss
E-frag.net,5,FaZe,16,cch,83,839,loss
fnatic,19,mousesports,17,d2,604,639,win
Luminosity,13,NiP,16,mrg,604,328,loss
mousesports,14,Luminosity,16,cbl,639,328,loss
NiP,13,Natus Vincere,16,ovp,328,620,loss
fnatic,16,NiP,14,inf,604,328,win
mousesports,6,Natus Vincere,16,cbl,639,620,loss
fnatic,12,Luminosity,16,inf,604,620,loss
Luminosity,16,Natus Vincere,11,mrg,604,620,win
fnatic,16,Natus Vincere,10,d2,604,620,win
mousesports,16,NiP,8,mrg,639,328,win
Dignitas,13,Cloud9,16,cch,639,430,loss
SK,13,CLG,16,ovp,331,430,loss
FlipSid3,14,G2,16,inf,331,242,loss
Dignitas,9,Renegades,16,inf,331,228,loss
HellRaisers,15,mousesports,19,mrg,154,639,loss
Liquid,20,HellRaisers,22,d2,321,154,loss
fnatic,16,SK,6,cch,604,331,win
SK,11,fnatic,16,ovp,331,604,loss
Virtus.pro,11,Astralis,16,cch,160,971,loss
Astralis,16,Virtus.pro,3,ovp,971,160,win
NiP,16,Natus Vincere,10,mrg,328,620,win
Natus Vincere,16,NiP,13,trn,620,328,win
NiP,16,mousesports,14,ovp,328,639,win
mousesports,15,NiP,19,cch,639,328,loss
Virtus.pro,13,EnVyUs,16,mrg,160,83,loss
EnVyUs,20,Virtus.pro,22,cbl,83,160,loss
mousesports,16,G2,10,ovp,639,242,win
G2,16,mousesports,13,d2,242,639,win
Astralis,13,fnatic,16,inf,971,604,loss
Astralis,14,fnatic,16,d2,971,604,loss
fnatic,16,G2,8,ovp,604,242,win
fnatic,16,G2,7,inf,604,242,win
Dignitas,12,Astralis,16,ovp,604,971,loss
Astralis,16,Dignitas,11,mrg,971,971,win
fnatic,16,EnVyUs,7,trn,604,83,win
Astralis,13,G2,16,d2,971,242,loss
EnVyUs,9,Astralis,16,mrg,83,971,loss
fnatic,19,Dignitas,17,cbl,604,971,win
EnVyUs,13,fnatic,16,cbl,83,604,loss
Astralis,19,G2,17,d2,971,242,win
EnVyUs,16,fnatic,10,trn,83,604,win
NiP,16,Dignitas,8,mrg,328,604,win
Dignitas,8,NiP,16,trn,328,328,loss
Natus Vincere,16,Virtus.pro,12,cbl,620,160,win
Virtus.pro,9,Natus Vincere,16,d2,160,620,loss
fnatic,5,EnVyUs,16,cch,604,83,loss
EnVyUs,4,fnatic,16,inf,83,604,loss
FlipSid3,7,Astralis,16,ovp,83,971,loss
Astralis,16,FlipSid3,7,mrg,971,971,win
Dignitas,16,Virtus.pro,14,ovp,971,160,win
Virtus.pro,5,Dignitas,16,mrg,160,160,loss
G2,7,fnatic,16,inf,242,604,loss
fnatic,16,G2,5,cbl,604,242,win
Liquid,11,Luminosity,16,cbl,321,242,loss
Luminosity,16,Liquid,13,ovp,321,321,win
CLG,5,Cloud9,16,ovp,321,430,loss
Cloud9,16,CLG,12,cbl,430,430,win
Virtus.pro,9,fnatic,16,ovp,160,604,loss
fnatic,16,Virtus.pro,12,d2,604,160,win
Natus Vincere,12,SK,16,trn,620,331,loss
SK,16,Natus Vincere,7,cbl,331,620,win
FaZe,16,Virtus.pro,10,mrg,839,160,win
Virtus.pro,9,FaZe,16,trn,160,839,loss
G2,16,Astralis,8,cch,242,971,win
Astralis,16,G2,10,inf,971,242,win
EnVyUs,16,SK,6,cbl,83,331,win
SK,19,EnVyUs,22,mrg,331,83,loss
Natus Vincere,16,Astralis,14,ovp,620,971,win
Astralis,16,Natus Vincere,13,mrg,971,620,win
mousesports,19,Astralis,22,mrg,639,971,loss
Natus Vincere,16,FaZe,9,trn,620,839,win
Astralis,16,Dignitas,9,ovp,971,839,win
Virtus.pro,5,mousesports,16,d2,160,639,loss
Luminosity,9,FaZe,16,inf,160,839,loss
Natus Vincere,16,SK,3,mrg,620,331,win
NiP,4,fnatic,16,d2,328,604,loss
fnatic,16,Luminosity,0,d2,604,604,win
EnVyUs,8,NiP,16,mrg,83,328,loss
Virtus.pro,13,TSM,16,mrg,160,328,loss
TSM,16,Liquid,0,ovp,160,321,win
CLG,13,Conquest,16,inf,160,321,loss
Luminosity,16,Cloud9,4,inf,160,430,win
mousesports,12,EnVyUs,16,cch,639,83,loss
HellRaisers,16,mousesports,13,trn,154,639,win
Natus Vincere,16,Virtus.pro,5,d2,620,160,win
TSM,12,EnVyUs,16,cbl,620,83,loss
NiP,16,Titan,3,mrg,328,83,win
HellRaisers,8,Natus Vincere,16,cbl,154,620,loss
fnatic,16,EnVyUs,10,inf,604,83,win
mousesports,7,TSM,16,cch,639,83,loss
NiP,16,Virtus.pro,13,ovp,328,160,win
Dignitas,13,Titan,16,ovp,328,160,loss
Dignitas,16,Virtus.pro,7,cbl,328,160,win
CLG,11,Renegades,16,cbl,328,228,loss
mousesports,13,Virtus.pro,16,d2,639,160,loss
NiP,16,Titan,6,trn,328,160,win
Virtus.pro,16,Titan,2,trn,160,160,win
NiP,14,Virtus.pro,16,cbl,328,160,loss
Cloud9,14,Liquid,16,cch,430,321,loss
Cloud9,16,Conquest,4,inf,430,321,win
Renegades,10,CLG,16,trn,228,321,loss
Virtus.pro,10,fnatic,16,trn,160,604,loss
Luminosity,16,Renegades,0,cbl,160,228,win
CLG,10,Renegades,16,d2,160,228,loss
Titan,8,Virtus.pro,16,cbl,160,160,loss
G2,16,Virtus.pro,10,cch,242,160,win
NiP,16,fnatic,7,trn,328,604,win
EnVyUs,4,Virtus.pro,16,cch,83,160,loss
Virtus.pro,14,NiP,16,mrg,160,328,loss
Virtus.pro,13,G2,16,trn,160,242,loss
Luminosity,16,Liquid,14,d2,160,321,win
Cloud9,13,Luminosity,16,ovp,430,321,loss
Liquid,11,Luminosity,16,cbl,321,321,loss
Dignitas,4,fnatic,16,inf,321,604,loss
Dignitas,16,Virtus.pro,4,cch,321,160,win
Natus Vincere,14,fnatic,16,d2,620,604,loss
Cloud9,12,Liquid,16,cch,430,321,loss
CLG,16,Conquest,12,d2,430,321,win
Liquid,16,Conquest,8,cch,321,321,win
mousesports,16,fnatic,9,ovp,639,604,win
mousesports,16,Virtus.pro,2,inf,639,160,win
Titan,13,Virtus.pro,16,trn,639,160,loss
NiP,8,mousesports,16,mrg,328,639,loss
CLG,10,Luminosity,16,cbl,328,639,loss
Cloud9,16,Conquest,6,d2,430,639,win
Cloud9,12,CLG,16,cch,430,639,loss
CLG,4,Luminosity,16,cch,430,639,loss
Liquid,16,Luminosity,6,cbl,321,639,win
CLG,16,Liquid,12,inf,321,321,win
NiP,16,EnVyUs,9,cbl,328,83,win
NiP,16,Dignitas,4,trn,328,83,win
EnVyUs,16,Natus Vincere,9,mrg,83,620,win
Virtus.pro,16,Titan,7,trn,160,620,win
TSM,16,G2,6,d2,160,242,win
fnatic,13,Luminosity,16,inf,604,242,loss
Dignitas,14,CLG,16,cbl,604,242,loss
Liquid,11,NiP,16,mrg,321,328,loss
FlipSid3,8,mousesports,16,ovp,321,639,loss
Vexed,13,Cloud9,16,cbl,321,430,loss
Natus Vincere,16,CLG,12,cbl,620,430,win
EnVyUs,16,Dignitas,6,cbl,83,430,win
NiP,13,Titan,16,cbl,328,430,loss
Virtus.pro,19,Liquid,15,cbl,160,321,win
G2,16,mousesports,8,inf,242,639,win
TSM,16,FlipSid3,6,cch,242,639,win
Luminosity,16,Cloud9,11,d2,242,430,win
fnatic,16,Vexed,10,cbl,604,430,win
mousesports,14,EnVyUs,16,ovp,639,83,loss
mousesports,19,Natus Vincere,17,mrg,639,620,win
HellRaisers,8,Natus Vincere,16,trn,154,620,loss
HellRaisers,16,Titan,5,cch,154,620,win
Liquid,16,CLG,11,trn,321,620,win
Cloud9,11,CLG,16,mrg,430,620,loss
TSM,16,EnVyUs,9,inf,430,83,win
Virtus.pro,3,TSM,16,ovp,160,83,loss
NiP,17,Titan,19,d2,328,83,loss
fnatic,22,TSM,20,mrg,604,83,win
Natus Vincere,16,NiP,11,ovp,620,328,win
NiP,6,Natus Vincere,16,inf,328,620,loss
Liquid,16,Cloud9,12,cbl,321,430,win
fnatic,16,HellRaisers,13,cbl,604,154,win
G2,10,NiP,16,cch,242,328,loss
TSM,5,Virtus.pro,16,ovp,242,160,loss
EnVyUs,16,fnatic,6,trn,83,604,win
NiP,16,mousesports,8,cbl,328,639,win
G2,16,Titan,11,d2,242,639,win
Cloud9,6,Liquid,16,inf,430,321,loss
G2,12,fnatic,16,inf,242,604,loss
Titan,16,EnVyUs,12,d2,242,83,win
G2,16,HellRaisers,10,cch,242,154,win
Titan,13,Natus Vincere,16,trn,242,620,loss
HellRaisers,8,fnatic,16,mrg,154,604,loss
TSM,13,EnVyUs,16,mrg,154,83,loss
EnVyUs,14,NiP,16,d2,83,328,loss
HellRaisers,11,Virtus.pro,16,ovp,154,160,loss
Virtus.pro,11,TSM,16,mrg,160,160,loss
Titan,16,fnatic,10,trn,160,604,win
Virtus.pro,16,fnatic,19,cch,160,604,loss
HellRaisers,9,Dignitas,16,mrg,154,604,loss
Dignitas,5,Natus Vincere,16,ovp,154,620,loss
Dignitas,6,TSM,16,mrg,154,620,loss
Virtus.pro,17,fnatic,19,trn,160,604,loss
Natus Vincere,16,TSM,19,cch,620,604,loss
NiP,12,Virtus.pro,16,inf,328,160,loss
Virtus.pro,5,EnVyUs,16,d2,160,83,loss
Immunity,9,Renegades,16,cch,160,228,loss
NiP,16,Dignitas,8,d2,328,228,win
Dignitas,8,EnVyUs,16,cch,328,83,loss
Luminosity,9,Liquid,16,ovp,328,321,loss
Dignitas,16,mousesports,13,trn,328,639,win
Dignitas,9,fnatic,16,mrg,328,604,loss
mousesports,13,TSM,16,d2,639,604,loss
Titan,13,TSM,16,cbl,639,604,loss
Cloud9,16,Luminosity,7,ovp,430,604,win
Cloud9,19,Liquid,17,d2,430,321,win
NiP,10,EnVyUs,16,mrg,328,83,loss
fnatic,5,EnVyUs,16,cch,604,83,loss
TSM,13,NiP,16,d2,604,328,loss
Natus Vincere,16,EnVyUs,13,trn,620,83,win
TSM,16,Titan,5,ovp,620,83,win
Titan,16,Natus Vincere,13,ovp,620,620,win
HellRaisers,16,fnatic,14,cch,154,604,win
HellRaisers,16,EnVyUs,14,cbl,154,83,win
TSM,16,fnatic,3,d2,154,604,win
EnVyUs,11,Titan,16,mrg,83,604,loss
G2,10,EnVyUs,16,d2,242,83,loss
mousesports,16,Titan,8,mrg,639,83,win
G2,19,TSM,21,d2,242,83,loss
Titan,2,fnatic,16,ovp,242,604,loss
mousesports,10,Titan,16,cch,639,604,loss
fnatic,3,EnVyUs,16,trn,604,83,loss
Dignitas,22,Natus Vincere,19,inf,604,620,win
France,16,Poland,19,cbl,604,620,loss
Dignitas,3,TSM,16,d2,604,620,loss
HellRaisers,16,NiP,2,cbl,154,328,win
Dignitas,19,mousesports,15,cbl,154,639,win
Titan,16,NiP,21,cbl,154,328,loss
EnVyUs,16,G2,13,trn,83,242,win
NiP,10,TSM,16,cbl,328,242,loss
fnatic,16,NiP,14,cbl,604,328,win
Titan,5,TSM,16,ovp,604,328,loss
Titan,16,fnatic,13,trn,604,604,win
TSM,16,HellRaisers,5,ovp,604,154,win
Cloud9,16,Luminosity,6,trn,430,154,win
Dignitas,8,EnVyUs,16,ovp,430,83,loss
NiP,11,HellRaisers,16,cch,328,154,loss