Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points)
Heroic,3,Dignitas,16,nuke,66.3,117,117
Astralis,14,Virtus.pro,16,mrg,69.7,1000,117
Virtus.pro,16,Astralis,14,nuke,,1000,1000
Astralis,16,Dignitas,6,cch,58.5,1000,1000
Dignitas,10,Astralis,16,mrg,,1000,1000
Virtus.pro,16,FlipSid3,5,trn,,1000,1000
FlipSid3,16,Virtus.pro,5,cbl,,1000,1000
FaZe,19,Dignitas,17,ovp,61.2,451,1000
Dignitas,4,FaZe,16,cch,,451,451
Envy,10,Virtus.pro,16,mrg,,451,451
Immortals,16,SK,4,mrg,,451,451
SK,11,Immortals,16,ovp,,451,451
Virtus.pro,9,Natus Vincere,16,trn,,451,558
Natus Vincere,3,Virtus.pro,16,cbl,53.6,558,558
SK,16,Echo Fox,11,d2,,558,558
Echo Fox,12,SK,16,ovp,,558,558
Echo Fox,11,OpTic,16,trn,,558,156
OpTic,16,Echo Fox,5,d2,undefined,156,156
Heroic,16,G2,12,trn,49.6,117,67
G2,19,Heroic,16,ovp,50.5,67,117
FlipSid3,5,Envy,16,cbl,,67,117
Envy,16,FlipSid3,4,nuke,,67,117
Echo Fox,8,Cloud9,16,d2,,67,84
Cloud9,12,Echo Fox,16,d2,undefined,84,84
NiP,16,G2,5,ovp,57,352,67
G2,10,NiP,16,mrg,47.3,67,352
Natus Vincere,13,mousesports,16,d2,undefined,558,341
mousesports,8,Natus Vincere,16,ovp,52.8,341,558
Cloud9,16,FaZe,8,trn,67.6,84,451
Virtus.pro,16,Heroic,6,trn,,84,117
Dignitas,11,FaZe,16,d2,,84,451
Heroic,34,Envy,31,mrg,55,117,451
Cloud9,16,FlipSid3,4,trn,67.6,84,451
Virtus.pro,16,Gambit,12,cbl,,84,60
Natus Vincere,11,NiP,16,d2,undefined,558,352
NiP,8,Natus Vincere,16,ovp,57,352,558
Envy,9,mousesports,16,mrg,,352,341
mousesports,16,Envy,9,d2,undefined,341,341
Astralis,16,NiP,7,ovp,66.7,1000,352
NiP,16,Astralis,14,d2,undefined,352,1000
Immortals,12,OpTic,16,cch,,352,156
OpTic,13,Immortals,16,cbl,55.2,156,156
Dignitas,16,G2,14,d2,,156,67
G2,16,Dignitas,13,cbl,55.7,67,67
mousesports,16,FaZe,3,mrg,61.8,341,451
FaZe,6,mousesports,16,d2,undefined,451,341
Envy,16,Virtus.pro,8,cbl,,451,341
Natus Vincere,16,Astralis,19,d2,undefined,558,1000
G2,16,FaZe,10,d2,undefined,67,451
NiP,16,GODSENT,5,ovp,57,352,451
Envy,8,Cloud9,16,cbl,,352,84
Astralis,13,Heroic,16,trn,63.6,1000,117
FaZe,16,FlipSid3,2,trn,57.5,451,117
GODSENT,16,Dignitas,3,mrg,,451,117
NiP,16,mousesports,5,cch,60.1,352,341
mousesports,13,NiP,16,cbl,51.1,341,352
Natus Vincere,16,FlipSid3,7,ovp,64.3,558,352
FlipSid3,12,Natus Vincere,16,trn,,558,558
G2,16,mousesports,6,d2,undefined,67,341
mousesports,16,G2,11,cch,60.5,341,67
Virtus.pro,7,Dignitas,16,mrg,,341,67
Dignitas,7,Virtus.pro,16,d2,,341,67
Astralis,16,FaZe,11,mrg,69.7,1000,451
FaZe,19,Astralis,16,d2,undefined,451,1000
SK,13,Liquid,16,mrg,,451,455
Liquid,16,SK,10,cbl,64,455,455
G2,16,FlipSid3,6,trn,47,67,455
FlipSid3,12,G2,16,nuke,,67,67
Heroic,13,Dignitas,16,mrg,55,117,67
FaZe,12,NiP,16,cch,54.6,451,352
Envy,3,Astralis,16,trn,,451,1000
Astralis,14,Envy,16,mrg,69.7,1000,1000
NiP,16,FaZe,3,cch,60.1,352,451
Dignitas,16,FlipSid3,9,ovp,,352,451
FlipSid3,5,Dignitas,16,cbl,,352,451
Dignitas,14,mousesports,16,mrg,,352,341
Envy,6,NiP,16,nuke,,352,352
mousesports,16,Dignitas,14,cbl,51.1,341,352
NiP,15,Envy,19,d2,undefined,352,352
Astralis,16,FlipSid3,12,trn,63.6,1000,352
FlipSid3,6,Astralis,16,ovp,,1000,1000
Dignitas,16,NiP,10,d2,,1000,352
NiP,16,Dignitas,8,nuke,77.2,352,352
G2,6,Envy,16,nuke,62.1,67,352
Envy,16,G2,14,trn,,67,67
FaZe,16,G2,12,ovp,61.2,451,67
G2,12,FaZe,16,cch,56.2,67,451
Natus Vincere,16,Astralis,6,mrg,63,558,1000
Astralis,7,Natus Vincere,16,trn,63.6,1000,558
OpTic,20,Liquid,22,cbl,55.2,156,455
Liquid,16,OpTic,3,mrg,56.7,455,156
Envy,10,FaZe,16,mrg,,455,451
FaZe,6,Envy,16,cch,54.6,451,451
G2,11,Natus Vincere,16,trn,47,67,558
Natus Vincere,16,G2,12,d2,undefined,558,67
Immortals,14,Cloud9,16,ovp,,558,84
Cloud9,16,Immortals,5,cbl,64.4,84,84
Virtus.pro,5,FaZe,16,mrg,,84,451
FaZe,16,Virtus.pro,8,trn,57.5,451,451
Liquid,10,Cloud9,16,d2,undefined,455,84
Cloud9,16,Liquid,8,cbl,64.4,84,455
NiP,17,Virtus.pro,19,ovp,57,352,455
Virtus.pro,8,NiP,16,nuke,,352,352
G2,13,fnatic,16,trn,47,67,183
SK,16,FaZe,6,cbl,,67,451
Envy,12,mousesports,16,trn,,67,341
Liquid,12,Virtus.pro,16,cbl,64,455,341
Natus Vincere,16,NiP,12,cbl,53.6,558,352
Astralis,6,Gambit,16,d2,undefined,1000,60
fnatic,14,FaZe,16,d2,undefined,183,451
SK,16,G2,11,cbl,,183,67
Virtus.pro,16,mousesports,10,trn,,183,341
Liquid,16,Envy,7,trn,56.1,455,341
NiP,16,OpTic,4,d2,undefined,352,156
Astralis,16,Dignitas,12,ovp,66.7,1000,156
Gambit,9,Virtus.pro,16,trn,51.8,60,156
Virtus.pro,12,Gambit,16,nuke,,60,60
Envy,16,Virtus.pro,11,cch,,60,60
Virtus.pro,19,Envy,16,mrg,,60,60
Gambit,9,Envy,16,cbl,50,60,60
Envy,16,Gambit,13,d2,,60,60
fnatic,16,Cloud9,13,d2,undefined,183,84
Luminosity,16,Liquid,12,trn,62.2,86,455
Liquid,16,G2,6,cbl,64,455,67
Luminosity,16,NiP,12,trn,62.2,86,352
mousesports,6,Natus Vincere,16,cbl,51.1,341,558
Natus Vincere,6,mousesports,16,mrg,63,558,341
NiP,8,GODSENT,16,mrg,55.7,352,341
Astralis,16,SK,12,ovp,66.7,1000,341
HellRaisers,7,GODSENT,16,cbl,56.2,129,341
Immortals,13,SK,16,trn,,129,341
fnatic,16,Dignitas,6,d2,undefined,183,341
Dignitas,9,fnatic,16,cbl,,183,183
FaZe,16,fnatic,8,mrg,62.8,451,183
fnatic,16,FaZe,0,cbl,65.2,183,451
FaZe,16,Dignitas,6,mrg,62.8,451,451
Dignitas,5,FaZe,16,cbl,,451,451
Cloud9,8,G2,16,cch,61.6,84,67
TYLOO,3,Dignitas,16,cbl,73.2,88,67
Envy,16,Cloud9,12,cbl,,88,84
HellRaisers,14,OpTic,16,cch,60,129,156
mousesports,16,G2,1,d2,undefined,341,67
Cloud9,16,TYLOO,13,cch,61.6,84,88
Dignitas,10,HellRaisers,16,nuke,,84,129
Cloud9,12,mousesports,16,mrg,62.4,84,341
HellRaisers,8,G2,16,d2,undefined,129,67
TYLOO,16,Immortals,11,cch,74.4,88,67
G2,16,TYLOO,9,cch,56.2,67,88
FaZe,16,Dignitas,8,mrg,62.8,451,88
Envy,16,Immortals,6,d2,,451,88
Astralis,16,SK,7,ovp,66.7,1000,88
SK,16,Astralis,6,trn,,1000,1000
CLG,6,Astralis,16,d2,,1000,1000
Astralis,16,CLG,2,trn,63.6,1000,1000
SK,14,CLG,16,ovp,,1000,1000
CLG,3,SK,16,nuke,,1000,1000
G2,16,OpTic,4,nuke,62.1,67,156
OpTic,14,G2,16,trn,52.1,156,67
G2,16,NiP,12,d2,undefined,67,352
NiP,9,G2,16,trn,68.3,352,67
OpTic,10,NiP,16,trn,52.1,156,352
NiP,16,OpTic,4,cbl,57.8,352,156
Luminosity,16,Cloud9,10,trn,62.2,86,84
Cloud9,7,Luminosity,16,d2,undefined,84,86
Liquid,14,Luminosity,16,cbl,64,455,86
Luminosity,16,Liquid,6,d2,undefined,86,455
Cloud9,16,Liquid,2,cch,61.6,84,455
Liquid,11,Cloud9,16,d2,undefined,455,84
fnatic,9,NiP,16,trn,58,183,352
NiP,22,Liquid,18,d2,undefined,352,455
fnatic,16,Cloud9,10,inf,67.2,183,84
Luminosity,12,G2,16,trn,62.2,86,67
Tempo Storm,16,Liquid,10,cbl,,86,455
Luminosity,16,Cloud9,3,mrg,50.8,86,84
CLG,1,Cloud9,16,cbl,,86,84
Selfless,6,Luminosity,16,ovp,,86,86
Luminosity,16,Selfless,14,inf,53.1,86,86
fnatic,22,Astralis,19,trn,58,183,1000
FaZe,16,Envy,7,trn,57.5,451,1000
NiP,16,G2,10,d2,undefined,352,67
mousesports,16,Natus Vincere,10,cch,60.5,341,558
Envy,14,FaZe,16,inf,,341,451
G2,16,NiP,13,cbl,55.7,67,352
Natus Vincere,16,mousesports,10,d2,undefined,558,341
Astralis,16,fnatic,5,ovp,66.7,1000,183
Liquid,16,Selfless,11,cch,66.9,455,183
Selfless,16,Liquid,9,trn,,455,455
mousesports,15,Virtus.pro,19,trn,54.4,341,455
FaZe,16,Dignitas,7,inf,62.3,451,455
Virtus.pro,5,mousesports,16,cch,,451,341
Dignitas,16,FaZe,9,mrg,,451,451
NiP,16,Envy,3,trn,68.3,352,451
Envy,10,NiP,16,cch,,352,352
FaZe,16,fnatic,10,inf,62.3,451,183
fnatic,6,FaZe,16,trn,58,183,451
G2,16,Natus Vincere,3,ovp,50.5,67,558
Natus Vincere,19,G2,16,trn,65,558,67
FaZe,9,Astralis,16,inf,62.3,451,1000
Astralis,16,FaZe,12,d2,undefined,1000,451
fnatic,13,Natus Vincere,16,cbl,65.2,183,558
Natus Vincere,11,fnatic,16,ovp,64.3,558,183
mousesports,16,Envy,8,cch,60.5,341,183
Envy,19,mousesports,22,inf,,341,341
Virtus.pro,16,Tempo Storm,9,mrg,,341,341
Astralis,9,Dignitas,16,cch,58.5,1000,341
Natus Vincere,19,CLG,15,d2,undefined,558,341
Luminosity,7,mousesports,16,cch,54.9,86,341
FaZe,12,Envy,16,cch,54.6,451,341
Envy,14,Tempo Storm,16,cbl,,451,341
Virtus.pro,16,FaZe,8,trn,,451,451
NiP,2,Dignitas,16,ovp,57,352,451
G2,2,CLG,16,d2,undefined,67,451
Liquid,13,mousesports,16,d2,undefined,455,341
Liquid,16,Cloud9,5,cch,66.9,455,84
Cloud9,8,Liquid,16,d2,undefined,84,455
Dignitas,16,Envy,7,inf,,84,455
Envy,14,Dignitas,16,mrg,,84,455
NiP,16,FlipSid3,8,cbl,57.8,352,455
FlipSid3,4,NiP,16,ovp,,352,352
Natus Vincere,16,Virtus.pro,4,cbl,53.6,558,352
CLG,9,Astralis,16,ovp,,558,1000
Liquid,22,fnatic,19,d2,undefined,455,183
NiP,5,Luminosity,16,mrg,55.7,352,86
Cloud9,3,G2,16,d2,undefined,84,67
FlipSid3,28,mousesports,31,cbl,,84,341
Virtus.pro,16,G2,1,trn,,84,67
Natus Vincere,16,Cloud9,9,trn,65,558,84
Envy,8,CLG,16,cbl,,558,84
FaZe,11,Liquid,16,cch,54.6,451,455
Luminosity,16,mousesports,13,mrg,50.8,86,341
NiP,19,FlipSid3,17,cch,60.1,352,341
NiP,16,Astralis,4,cch,60.1,352,1000
Astralis,8,NiP,16,mrg,69.7,1000,352
fnatic,16,FlipSid3,14,inf,67.2,183,352
FlipSid3,13,fnatic,16,ovp,,183,183
Dignitas,16,mousesports,10,inf,,183,341
mousesports,16,Dignitas,19,cbl,51.1,341,341
FlipSid3,13,SK,16,trn,,341,341
SK,10,FlipSid3,16,mrg,,341,341
Liquid,22,CLG,19,mrg,56.7,455,341
CLG,5,Liquid,16,cbl,,455,455
Dignitas,5,Astralis,16,mrg,,455,1000
Astralis,16,Dignitas,11,inf,71.9,1000,1000
Natus Vincere,16,Envy,7,cbl,53.6,558,1000
Envy,11,Natus Vincere,16,trn,,558,558
FlipSid3,16,mousesports,13,cbl,,558,341
mousesports,12,FlipSid3,16,ovp,52.8,341,341
Luminosity,16,CLG,12,ovp,58.8,86,341
CLG,9,Luminosity,16,cbl,,86,86
Dignitas,5,fnatic,16,ovp,,86,183
fnatic,16,Dignitas,6,trn,58,183,183
FaZe,13,mousesports,16,d2,undefined,451,341
mousesports,16,FaZe,14,cch,60.5,341,451
Luminosity,16,Cloud9,7,cbl,59.6,86,84
Cloud9,16,Luminosity,13,ovp,57,84,86
Liquid,16,Renegades,7,d2,undefined,455,109
Renegades,16,Liquid,11,mrg,52.4,109,455
FaZe,10,G2,16,cch,54.6,451,67
G2,16,FaZe,13,d2,undefined,67,451
Renegades,8,Cloud9,16,d2,undefined,109,84
Cloud9,19,Renegades,16,trn,67.6,84,109
NiP,10,fnatic,16,inf,60.3,352,183
fnatic,6,NiP,16,cch,62.6,183,352
Dignitas,16,G2,10,ovp,,183,67
G2,16,Dignitas,6,inf,51.2,67,67
Dignitas,3,Natus Vincere,16,ovp,,67,558
Natus Vincere,16,Dignitas,14,mrg,63,558,558
mousesports,19,fnatic,17,d2,undefined,341,183
fnatic,16,mousesports,4,cch,62.6,183,341
FlipSid3,7,G2,16,ovp,,183,67
G2,16,FlipSid3,12,trn,47,67,67
G2,16,Virtus.pro,6,ovp,50.5,67,67
Virtus.pro,16,G2,14,trn,,67,67
Astralis,7,Envy,16,inf,71.9,1000,67
Envy,10,Astralis,16,trn,,1000,1000
FaZe,12,Natus Vincere,16,mrg,62.8,451,558
Natus Vincere,19,FaZe,17,d2,undefined,558,451
FlipSid3,7,Envy,16,cbl,,558,451
Envy,16,FlipSid3,9,mrg,,558,451
Envy,12,G2,16,trn,,558,67
G2,16,Envy,11,cch,56.2,67,67
NiP,16,Virtus.pro,11,ovp,57,352,67
Virtus.pro,2,NiP,16,cch,,352,352
FaZe,9,NiP,16,trn,57.5,451,352
NiP,16,FaZe,7,d2,undefined,352,451
mousesports,4,Astralis,16,d2,undefined,341,1000
Astralis,16,mousesports,12,mrg,69.7,1000,341
Envy,19,E-frag.net,22,cch,,1000,341
Virtus.pro,16,FaZe,13,mrg,,1000,451
E-frag.net,9,Virtus.pro,16,ovp,,1000,451
FaZe,5,Astralis,16,inf,62.3,451,1000
Envy,16,FaZe,12,trn,,451,451
E-frag.net,5,Astralis,16,mrg,,451,1000
Envy,14,Virtus.pro,16,cch,,451,1000
Virtus.pro,6,Astralis,16,ovp,,451,1000
Envy,11,Astralis,16,trn,,451,1000
E-frag.net,5,FaZe,16,cch,,451,451
fnatic,19,mousesports,17,d2,undefined,183,341
Luminosity,13,NiP,16,mrg,50.8,86,352
mousesports,14,Luminosity,16,cbl,51.1,341,86
NiP,13,Natus Vincere,16,ovp,57,352,558
fnatic,16,NiP,14,inf,67.2,183,352
mousesports,6,Natus Vincere,16,cbl,51.1,341,558
fnatic,12,Luminosity,16,inf,67.2,183,86
Luminosity,16,Natus Vincere,11,mrg,50.8,86,558
fnatic,16,Natus Vincere,10,d2,undefined,183,558
mousesports,16,NiP,8,mrg,61.8,341,352
Dignitas,13,Cloud9,16,cch,,341,84
SK,13,CLG,16,ovp,,341,84
FlipSid3,14,G2,16,inf,,341,67
Dignitas,9,Renegades,16,inf,,341,109
HellRaisers,15,mousesports,19,mrg,49.5,129,341
Liquid,20,HellRaisers,22,d2,undefined,455,129
fnatic,16,SK,6,cch,62.6,183,129
SK,11,fnatic,16,ovp,,183,183
Virtus.pro,11,Astralis,16,cch,,183,1000
Astralis,16,Virtus.pro,3,ovp,66.7,1000,1000
NiP,16,Natus Vincere,10,mrg,55.7,352,558
Natus Vincere,16,NiP,13,trn,65,558,352
NiP,16,mousesports,14,ovp,57,352,341
mousesports,15,NiP,19,cch,60.5,341,352
Virtus.pro,13,Envy,16,mrg,,341,352
Envy,20,Virtus.pro,22,cbl,,341,352
mousesports,16,G2,10,ovp,52.8,341,67
G2,16,mousesports,13,d2,undefined,67,341
Astralis,13,fnatic,16,inf,71.9,1000,183
Astralis,14,fnatic,16,d2,undefined,1000,183
fnatic,16,G2,8,ovp,54.8,183,67
fnatic,16,G2,7,inf,67.2,183,67
Dignitas,12,Astralis,16,ovp,,183,1000
Astralis,16,Dignitas,11,mrg,69.7,1000,1000
fnatic,16,Envy,7,trn,58,183,1000
Astralis,13,G2,16,d2,undefined,1000,67
Envy,9,Astralis,16,mrg,,1000,1000
fnatic,19,Dignitas,17,cbl,65.2,183,1000
Envy,13,fnatic,16,cbl,,183,183
Astralis,19,G2,17,d2,undefined,1000,67
Envy,16,fnatic,10,trn,,1000,183
NiP,16,Dignitas,8,mrg,55.7,352,183
Dignitas,8,NiP,16,trn,,352,352
Natus Vincere,16,Virtus.pro,12,cbl,53.6,558,352
Virtus.pro,9,Natus Vincere,16,d2,,558,558
fnatic,5,Envy,16,cch,62.6,183,558
Envy,4,fnatic,16,inf,,183,183
FlipSid3,7,Astralis,16,ovp,,183,1000
Astralis,16,FlipSid3,7,mrg,69.7,1000,1000
Dignitas,16,Virtus.pro,14,ovp,,1000,1000
Virtus.pro,5,Dignitas,16,mrg,,1000,1000
G2,7,fnatic,16,inf,51.2,67,183
fnatic,16,G2,5,cbl,65.2,183,67
Liquid,11,Luminosity,16,cbl,64,455,86
Luminosity,16,Liquid,13,ovp,58.8,86,455
CLG,5,Cloud9,16,ovp,,86,84
Cloud9,16,CLG,12,cbl,64.4,84,84
Virtus.pro,9,fnatic,16,ovp,,84,183
fnatic,16,Virtus.pro,12,d2,undefined,183,183
Natus Vincere,12,SK,16,trn,65,558,183
SK,16,Natus Vincere,7,cbl,,558,558
FaZe,16,Virtus.pro,10,mrg,62.8,451,558
Virtus.pro,9,FaZe,16,trn,,451,451
G2,16,Astralis,8,cch,56.2,67,1000
Astralis,16,G2,10,inf,71.9,1000,67
Envy,16,SK,6,cbl,,1000,67
SK,19,Envy,22,mrg,,1000,67
Natus Vincere,16,Astralis,14,ovp,64.3,558,1000
Astralis,16,Natus Vincere,13,mrg,69.7,1000,558
mousesports,19,Astralis,22,mrg,61.8,341,1000
Natus Vincere,16,FaZe,9,trn,65,558,451
Astralis,16,Dignitas,9,ovp,66.7,1000,451
Virtus.pro,5,mousesports,16,d2,,1000,341
Luminosity,9,FaZe,16,inf,53.1,86,451
Natus Vincere,16,SK,3,mrg,63,558,451
NiP,4,fnatic,16,d2,undefined,352,183
fnatic,16,Luminosity,0,d2,undefined,183,86
Envy,8,NiP,16,mrg,,183,352
Virtus.pro,13,TSM,16,mrg,,183,352
TSM,16,Liquid,0,ovp,,183,455
CLG,13,Conquest,16,inf,,183,455
Luminosity,16,Cloud9,4,inf,53.1,86,84
mousesports,12,Envy,16,cch,60.5,341,84
HellRaisers,16,mousesports,13,trn,49,129,341
Natus Vincere,16,Virtus.pro,5,d2,undefined,558,341
TSM,12,Envy,16,cbl,,558,341
NiP,16,Titan,3,mrg,55.7,352,341
HellRaisers,8,Natus Vincere,16,cbl,56.2,129,558
fnatic,16,Envy,10,inf,67.2,183,558
mousesports,7,TSM,16,cch,60.5,341,558
NiP,16,Virtus.pro,13,ovp,57,352,558
Dignitas,13,Titan,16,ovp,,352,558
Dignitas,16,Virtus.pro,7,cbl,,352,558
CLG,11,Renegades,16,cbl,,352,109
mousesports,13,Virtus.pro,16,d2,undefined,341,109
NiP,16,Titan,6,trn,68.3,352,109
Virtus.pro,16,Titan,2,trn,,352,109
NiP,14,Virtus.pro,16,cbl,57.8,352,109
Cloud9,14,Liquid,16,cch,61.6,84,455
Cloud9,16,Conquest,4,inf,53.4,84,455
Renegades,10,CLG,16,trn,52.9,109,455
Virtus.pro,10,fnatic,16,trn,,109,183
Luminosity,16,Renegades,0,cbl,59.6,86,109
CLG,10,Renegades,16,d2,,86,109
Titan,8,Virtus.pro,16,cbl,,86,109
G2,16,Virtus.pro,10,cch,56.2,67,109
NiP,16,fnatic,7,trn,68.3,352,183
Envy,4,Virtus.pro,16,cch,,352,183
Virtus.pro,14,NiP,16,mrg,,352,352
Virtus.pro,13,G2,16,trn,,352,67
Luminosity,16,Liquid,14,d2,undefined,86,455
Cloud9,13,Luminosity,16,ovp,57,84,86
Liquid,11,Luminosity,16,cbl,64,455,86
Dignitas,4,fnatic,16,inf,,455,183
Dignitas,16,Virtus.pro,4,cch,,455,183
Natus Vincere,14,fnatic,16,d2,undefined,558,183
Cloud9,12,Liquid,16,cch,61.6,84,455
CLG,16,Conquest,12,d2,,84,455
Liquid,16,Conquest,8,cch,66.9,455,455
mousesports,16,fnatic,9,ovp,52.8,341,183
mousesports,16,Virtus.pro,2,inf,49.1,341,183
Titan,13,Virtus.pro,16,trn,,341,183
NiP,8,mousesports,16,mrg,55.7,352,341
CLG,10,Luminosity,16,cbl,,352,86
Cloud9,16,Conquest,6,d2,undefined,84,86
Cloud9,12,CLG,16,cch,61.6,84,86
CLG,4,Luminosity,16,cch,,84,86
Liquid,16,Luminosity,6,cbl,64,455,86
CLG,16,Liquid,12,inf,,455,455
NiP,16,Envy,9,cbl,57.8,352,455
NiP,16,Dignitas,4,trn,68.3,352,455
Envy,16,Natus Vincere,9,mrg,,352,558
Virtus.pro,16,Titan,7,trn,,352,558
TSM,16,G2,6,d2,,352,67
fnatic,13,Luminosity,16,inf,67.2,183,86
Dignitas,14,CLG,16,cbl,,183,86
Liquid,11,NiP,16,mrg,56.7,455,352
FlipSid3,8,mousesports,16,ovp,,455,341
Vexed,13,Cloud9,16,cbl,,455,84
Natus Vincere,16,CLG,12,cbl,53.6,558,84
Envy,16,Dignitas,6,cbl,,558,84
NiP,13,Titan,16,cbl,57.8,352,84
Virtus.pro,19,Liquid,15,cbl,,352,455
G2,16,mousesports,8,inf,51.2,67,341
TSM,16,FlipSid3,6,cch,,67,341
Luminosity,16,Cloud9,11,d2,undefined,86,84
fnatic,16,Vexed,10,cbl,65.2,183,84
mousesports,14,Envy,16,ovp,52.8,341,84
mousesports,19,Natus Vincere,17,mrg,61.8,341,558
HellRaisers,8,Natus Vincere,16,trn,49,129,558
HellRaisers,16,Titan,5,cch,60,129,558
Liquid,16,CLG,11,trn,56.1,455,558
Cloud9,11,CLG,16,mrg,62.4,84,558
TSM,16,Envy,9,inf,,84,558
Virtus.pro,3,TSM,16,ovp,,84,558
NiP,17,Titan,19,d2,undefined,352,558
fnatic,22,TSM,20,mrg,61.4,183,558
Natus Vincere,16,NiP,11,ovp,64.3,558,352
NiP,6,Natus Vincere,16,inf,60.3,352,558
Liquid,16,Cloud9,12,cbl,64,455,84
fnatic,16,HellRaisers,13,cbl,65.2,183,129
G2,10,NiP,16,cch,56.2,67,352
TSM,5,Virtus.pro,16,ovp,,67,352
Envy,16,fnatic,6,trn,,67,183
NiP,16,mousesports,8,cbl,57.8,352,341
G2,16,Titan,11,d2,undefined,67,341
Cloud9,6,Liquid,16,inf,53.4,84,455
G2,12,fnatic,16,inf,51.2,67,183
Titan,16,Envy,12,d2,,67,183
G2,16,HellRaisers,10,cch,56.2,67,129
Titan,13,Natus Vincere,16,trn,,67,558
HellRaisers,8,fnatic,16,mrg,49.5,129,183
TSM,13,Envy,16,mrg,,129,183
Envy,14,NiP,16,d2,,129,352
HellRaisers,11,Virtus.pro,16,ovp,55.9,129,352
Virtus.pro,11,TSM,16,mrg,,129,352
Titan,16,fnatic,10,trn,,129,183
Virtus.pro,16,fnatic,19,cch,,129,183
HellRaisers,9,Dignitas,16,mrg,49.5,129,183
Dignitas,5,Natus Vincere,16,ovp,,129,558
Dignitas,6,TSM,16,mrg,,129,558
Virtus.pro,17,fnatic,19,trn,,129,183
Natus Vincere,16,TSM,19,cch,22.2,558,183
NiP,12,Virtus.pro,16,inf,60.3,352,183
Virtus.pro,5,Envy,16,d2,,352,183
Immunity,9,Renegades,16,cch,,352,109
NiP,16,Dignitas,8,d2,undefined,352,109
Dignitas,8,Envy,16,cch,,352,109
Luminosity,9,Liquid,16,ovp,58.8,86,455
Dignitas,16,mousesports,13,trn,,86,341
Dignitas,9,fnatic,16,mrg,,86,183
mousesports,13,TSM,16,d2,undefined,341,183
Titan,13,TSM,16,cbl,,341,183
Cloud9,16,Luminosity,7,ovp,57,84,86
Cloud9,19,Liquid,17,d2,undefined,84,455
NiP,10,Envy,16,mrg,55.7,352,455
fnatic,5,Envy,16,cch,62.6,183,455
TSM,13,NiP,16,d2,,183,352
Natus Vincere,16,Envy,13,trn,65,558,352
TSM,16,Titan,5,ovp,,558,352
Titan,16,Natus Vincere,13,ovp,,558,558
HellRaisers,16,fnatic,14,cch,60,129,183
HellRaisers,16,Envy,14,cbl,56.2,129,183
TSM,16,fnatic,3,d2,,129,183
Envy,11,Titan,16,mrg,,129,183
G2,10,Envy,16,d2,undefined,67,183
mousesports,16,Titan,8,mrg,61.8,341,183
G2,19,TSM,21,d2,undefined,67,183
Titan,2,fnatic,16,ovp,,67,183
mousesports,10,Titan,16,cch,60.5,341,183
fnatic,3,Envy,16,trn,58,183,183
Dignitas,22,Natus Vincere,19,inf,,183,558
France,16,Poland,19,cbl,,183,558
Dignitas,3,TSM,16,d2,,183,558
HellRaisers,16,NiP,2,cbl,56.2,129,352
Dignitas,19,mousesports,15,cbl,,129,341
Titan,16,NiP,21,cbl,,129,352
Envy,16,G2,13,trn,,129,67
NiP,10,TSM,16,cbl,57.8,352,67
fnatic,16,NiP,14,cbl,65.2,183,352
Titan,5,TSM,16,ovp,,183,352
Titan,16,fnatic,13,trn,,183,183
TSM,16,HellRaisers,5,ovp,,183,129
Cloud9,16,Luminosity,6,trn,67.6,84,86
Dignitas,8,Envy,16,ovp,,84,86
NiP,11,HellRaisers,16,cch,60.1,352,129